nombre_expo,ciudad,fecha,costo,estado,leads_capturados,_fila_origen,_confianza,_nota,_pregunta_pendiente
Expo Tu Boda CDMX,Ciudad de México,15-16 ago 2026 (confirmado),,confirmado,,Expos Bodas Mexico 2026.xlsx/Hoja1/R2,alta,"Lista de prospección 2026; sin costo/tel/asistentes/leads en origen. Expos YA realizadas (p.ej. 'Expo Tu Boda' feb-mar 2025) están en Contabilidad, no aquí",Q-EXPO
Expo Tu Boda Monterrey,Monterrey,,,por_verificar,,Expos Bodas Mexico 2026.xlsx/Hoja1/R3,alta,"Lista de prospección 2026; sin costo/tel/asistentes/leads en origen. Expos YA realizadas (p.ej. 'Expo Tu Boda' feb-mar 2025) están en Contabilidad, no aquí",Q-EXPO
Expo Tu Boda Guadalajara,Guadalajara,,,por_verificar,,Expos Bodas Mexico 2026.xlsx/Hoja1/R4,alta,"Lista de prospección 2026; sin costo/tel/asistentes/leads en origen. Expos YA realizadas (p.ej. 'Expo Tu Boda' feb-mar 2025) están en Contabilidad, no aquí",Q-EXPO
Expo Tu Boda Puebla,Puebla,,,por_verificar,,Expos Bodas Mexico 2026.xlsx/Hoja1/R5,alta,"Lista de prospección 2026; sin costo/tel/asistentes/leads en origen. Expos YA realizadas (p.ej. 'Expo Tu Boda' feb-mar 2025) están en Contabilidad, no aquí",Q-EXPO
Expo Tu Boda Querétaro,Querétaro,,,por_verificar,,Expos Bodas Mexico 2026.xlsx/Hoja1/R6,alta,"Lista de prospección 2026; sin costo/tel/asistentes/leads en origen. Expos YA realizadas (p.ej. 'Expo Tu Boda' feb-mar 2025) están en Contabilidad, no aquí",Q-EXPO
Expo Tu Boda León,León,,,por_verificar,,Expos Bodas Mexico 2026.xlsx/Hoja1/R7,alta,"Lista de prospección 2026; sin costo/tel/asistentes/leads en origen. Expos YA realizadas (p.ej. 'Expo Tu Boda' feb-mar 2025) están en Contabilidad, no aquí",Q-EXPO
Expo Tu Boda Tijuana,Tijuana,,,por_verificar,,Expos Bodas Mexico 2026.xlsx/Hoja1/R8,alta,"Lista de prospección 2026; sin costo/tel/asistentes/leads en origen. Expos YA realizadas (p.ej. 'Expo Tu Boda' feb-mar 2025) están en Contabilidad, no aquí",Q-EXPO
Expo Tu Boda Hermosillo,Hermosillo,,,por_verificar,,Expos Bodas Mexico 2026.xlsx/Hoja1/R9,alta,"Lista de prospección 2026; sin costo/tel/asistentes/leads en origen. Expos YA realizadas (p.ej. 'Expo Tu Boda' feb-mar 2025) están en Contabilidad, no aquí",Q-EXPO
Expo Me Caso,Ciudad de México,17-18 oct 2026 (confirmado),,confirmado,,Expos Bodas Mexico 2026.xlsx/Hoja1/R10,alta,"Lista de prospección 2026; sin costo/tel/asistentes/leads en origen. Expos YA realizadas (p.ej. 'Expo Tu Boda' feb-mar 2025) están en Contabilidad, no aquí",Q-EXPO
Expo Nupcias México,Ciudad de México,24-25 oct (verificar año),,por_verificar,,Expos Bodas Mexico 2026.xlsx/Hoja1/R11,alta,"Lista de prospección 2026; sin costo/tel/asistentes/leads en origen. Expos YA realizadas (p.ej. 'Expo Tu Boda' feb-mar 2025) están en Contabilidad, no aquí",Q-EXPO
Expo Nupcias Guadalajara,Guadalajara,,,por_verificar,,Expos Bodas Mexico 2026.xlsx/Hoja1/R12,alta,"Lista de prospección 2026; sin costo/tel/asistentes/leads en origen. Expos YA realizadas (p.ej. 'Expo Tu Boda' feb-mar 2025) están en Contabilidad, no aquí",Q-EXPO
BrideAdvisor Expo Guadalajara,Guadalajara,20-21 sep 2026 (confirmado),,confirmado,,Expos Bodas Mexico 2026.xlsx/Hoja1/R13,alta,"Lista de prospección 2026; sin costo/tel/asistentes/leads en origen. Expos YA realizadas (p.ej. 'Expo Tu Boda' feb-mar 2025) están en Contabilidad, no aquí",Q-EXPO
BrideAdvisor Expo (otras ciudades),Varias,,,por_verificar,,Expos Bodas Mexico 2026.xlsx/Hoja1/R14,alta,"Lista de prospección 2026; sin costo/tel/asistentes/leads en origen. Expos YA realizadas (p.ej. 'Expo Tu Boda' feb-mar 2025) están en Contabilidad, no aquí",Q-EXPO
Expo Bodas y XV Mérida,Mérida,21-22 feb 2026 (ya pasó; buscar 2ª edición),,ya_paso,,Expos Bodas Mexico 2026.xlsx/Hoja1/R15,alta,"Lista de prospección 2026; sin costo/tel/asistentes/leads en origen. Expos YA realizadas (p.ej. 'Expo Tu Boda' feb-mar 2025) están en Contabilidad, no aquí",Q-EXPO
Expo Boda-Quince Puebla (CCU BUAP),Puebla,30-31 may 2026 (ya pasó; buscar próxima),,ya_paso,,Expos Bodas Mexico 2026.xlsx/Hoja1/R16,alta,"Lista de prospección 2026; sin costo/tel/asistentes/leads en origen. Expos YA realizadas (p.ej. 'Expo Tu Boda' feb-mar 2025) están en Contabilidad, no aquí",Q-EXPO
ExpoFestival de Bodas y XV Chihuahua,Chihuahua,,,por_verificar,,Expos Bodas Mexico 2026.xlsx/Hoja1/R17,alta,"Lista de prospección 2026; sin costo/tel/asistentes/leads en origen. Expos YA realizadas (p.ej. 'Expo Tu Boda' feb-mar 2025) están en Contabilidad, no aquí",Q-EXPO
Expo Bodas y XV (expobodasyxv.com),Verificar ciudad,,,por_verificar,,Expos Bodas Mexico 2026.xlsx/Hoja1/R18,alta,"Lista de prospección 2026; sin costo/tel/asistentes/leads en origen. Expos YA realizadas (p.ej. 'Expo Tu Boda' feb-mar 2025) están en Contabilidad, no aquí",Q-EXPO
Expo Tu Quinceañera Monterrey (cruce XV/boda),Monterrey,,,por_verificar,,Expos Bodas Mexico 2026.xlsx/Hoja1/R19,alta,"Lista de prospección 2026; sin costo/tel/asistentes/leads en origen. Expos YA realizadas (p.ej. 'Expo Tu Boda' feb-mar 2025) están en Contabilidad, no aquí",Q-EXPO
Expo de bodas Saltillo (identificar),Saltillo,,,por_identificar,,Expos Bodas Mexico 2026.xlsx/Hoja1/R20,alta,"Lista de prospección 2026; sin costo/tel/asistentes/leads en origen. Expos YA realizadas (p.ej. 'Expo Tu Boda' feb-mar 2025) están en Contabilidad, no aquí",Q-EXPO
Expo de bodas Torreón / Laguna (identificar),Torreón,,,por_identificar,,Expos Bodas Mexico 2026.xlsx/Hoja1/R21,alta,"Lista de prospección 2026; sin costo/tel/asistentes/leads en origen. Expos YA realizadas (p.ej. 'Expo Tu Boda' feb-mar 2025) están en Contabilidad, no aquí",Q-EXPO
Expo de bodas San Luis Potosí (identificar),San Luis Potosí,,,por_identificar,,Expos Bodas Mexico 2026.xlsx/Hoja1/R22,alta,"Lista de prospección 2026; sin costo/tel/asistentes/leads en origen. Expos YA realizadas (p.ej. 'Expo Tu Boda' feb-mar 2025) están en Contabilidad, no aquí",Q-EXPO
Expo de bodas Culiacán (identificar),Culiacán,,,por_identificar,,Expos Bodas Mexico 2026.xlsx/Hoja1/R23,alta,"Lista de prospección 2026; sin costo/tel/asistentes/leads en origen. Expos YA realizadas (p.ej. 'Expo Tu Boda' feb-mar 2025) están en Contabilidad, no aquí",Q-EXPO
Expo de bodas Cancún / Riviera Maya (identificar),Cancún,,,por_identificar,,Expos Bodas Mexico 2026.xlsx/Hoja1/R24,alta,"Lista de prospección 2026; sin costo/tel/asistentes/leads en origen. Expos YA realizadas (p.ej. 'Expo Tu Boda' feb-mar 2025) están en Contabilidad, no aquí",Q-EXPO
Expo de bodas Tampico (identificar),Tampico,,,por_identificar,,Expos Bodas Mexico 2026.xlsx/Hoja1/R25,alta,"Lista de prospección 2026; sin costo/tel/asistentes/leads en origen. Expos YA realizadas (p.ej. 'Expo Tu Boda' feb-mar 2025) están en Contabilidad, no aquí",Q-EXPO
Expo de bodas Aguascalientes (identificar),Aguascalientes,,,por_identificar,,Expos Bodas Mexico 2026.xlsx/Hoja1/R26,alta,"Lista de prospección 2026; sin costo/tel/asistentes/leads en origen. Expos YA realizadas (p.ej. 'Expo Tu Boda' feb-mar 2025) están en Contabilidad, no aquí",Q-EXPO
