descripcion,tipo,metal,piedra,quilates,estado,costo,proveedor_o_consignante,fecha_adquisicion,notas,_fila_origen,_confianza,_nota,_pregunta_pendiente
Cushion Ideal 1.26 D VVS1,piedra,,Cushion,,disponible,4877,,,Cert/Serie: LG633492206 | DIAMANTES,Operaciones v1/Inventario Gemas/R11,alta,,
Cushion Ideal 1.52 D VVS1,piedra,,Cushion,,disponible,6661,,,Cert/Serie: LG689579098 | DIAMANTES,Operaciones v1/Inventario Gemas/R12,alta,,
Cushion Ideal 1.54 D VVS1,piedra,,Cushion,,disponible,6661,,,Cert/Serie: LG677530688 | DIAMANTES,Operaciones v1/Inventario Gemas/R13,alta,,
Cushion Ideal 1.58 D VVS1,piedra,,Cushion,,disponible,6661,,,Cert/Serie: LG687560339 | DIAMANTES,Operaciones v1/Inventario Gemas/R14,alta,,
Cushion Ideal 2.10 D VVS1,piedra,,Cushion,,disponible,13322,,,Cert/Serie: LG673429948 | DIAMANTES,Operaciones v1/Inventario Gemas/R15,alta,,
Emerald Ideal 1.58 D VVS1,piedra,,Emerald,,reservado,6185,,,Cert/Serie: LG687552383 | DIAMANTES | Montado en expo (MON EXPO),Operaciones v1/Inventario Gemas/R16,alta,,
Emerald Ideal 1.59 D VVS1,piedra,,Emerald,,vendido,6185,,,Cert/Serie: LG687532454 | DIAMANTES,Operaciones v1/Inventario Gemas/R17,alta,,
Emerald Ideal 1.68 D VVS1,piedra,,Emerald,,disponible,6185,,,DIAMANTES,Operaciones v1/Inventario Gemas/R18,media,,Q-ITEM
Emerald Ideal 2.02 D VVS1,piedra,,Emerald,,disponible,9754,,,Cert/Serie: LG665422106 | DIAMANTES,Operaciones v1/Inventario Gemas/R19,alta,,
Emerald Ideal 2.02 D VVS1,piedra,,Emerald,,vendido,9754,,,Cert/Serie: LG687599965 | DIAMANTES,Operaciones v1/Inventario Gemas/R20,alta,,
Emerald Ideal 2.05 D VVS1,piedra,,Emerald,,disponible,9754,,,DIAMANTES,Operaciones v1/Inventario Gemas/R21,media,,Q-ITEM
Esmeralda Colombiana 1 - 1.3 Corte Esmeralda 0.87ct,piedra,,Esmeralda,0.87,disponible,765.15,,,Cert/Serie: G2503310175 | PIEDRA COLOR,Operaciones v1/Inventario Gemas/R22,alta,,
Esmeralda Colombiana 1 - 1.3 Corte Esmeralda 0.87ct,piedra,,Esmeralda,0.87,disponible,765.15,,,Cert/Serie: G2503310176 | PIEDRA COLOR,Operaciones v1/Inventario Gemas/R23,alta,,
Esmeralda Colombiana 1 - 1.3 Corte Esmeralda 0.90ct,piedra,,Esmeralda,0.90,disponible,765.15,,,Cert/Serie: G2503310174 | PIEDRA COLOR,Operaciones v1/Inventario Gemas/R24,alta,,
Esmeralda Colombiana 1 - 1.3 Corte Esmeralda 0.90ct,piedra,,Esmeralda,0.90,disponible,765.15,,,Cert/Serie: G2503310177 | PIEDRA COLOR,Operaciones v1/Inventario Gemas/R25,alta,,
Esmeralda Colombiana 1 - 1.3 Corte Esmeralda 0.96ct,piedra,,Esmeralda,0.96,,765.15,,,Cert/Serie: G2503080110 | PIEDRA COLOR,Operaciones v1/Inventario Gemas/R26,media,,
Esmeralda Colombiana 1 - 1.3 Corte Esmeralda 0.97ct,piedra,,Esmeralda,0.97,,765.15,,,Cert/Serie: G2503080111 | PIEDRA COLOR,Operaciones v1/Inventario Gemas/R27,media,,
Esmeralda Colombiana 1.5 - 3 Corte Esmeralda 1.41ct,piedra,,Esmeralda,1.41,disponible,1147.73,,,Cert/Serie: G2503310164 | PIEDRA COLOR,Operaciones v1/Inventario Gemas/R28,alta,,
