fecha,tipo,categoria,concepto,monto,metodo,relacionado_con,notas,_fila_origen,_confianza,_nota,_pregunta_pendiente
2025-02-15,deuda,Deuda,Deuda Fer 1,2434.03,,Fer,"Flujo de financiamiento/capital (Clasif. 'Deuda'), NO ingreso/gasto de operación: definir destino",Contabilidad v1/Transacciones/R3,media,,Q-FIN
2025-02-15,gasto,Gasto,AliExpress cajitas,2434.03,,,,Contabilidad v1/Transacciones/R4,alta,,
2025-02-24,deuda,Deuda,Deuda inicial papá fer,47113.32,,Papá Fer,"Flujo de financiamiento/capital (Clasif. 'Deuda'), NO ingreso/gasto de operación: definir destino",Contabilidad v1/Transacciones/R5,media,,Q-FIN
2025-02-24,gasto,Gasto,Gastos iniciales,47113.32,,,,Contabilidad v1/Transacciones/R6,alta,,
2025-02-24,capital,Capital,Capital inicio post-Expo tu Boda,69500,,,"Flujo de financiamiento/capital (Clasif. 'Capital'), NO ingreso/gasto de operación: definir destino",Contabilidad v1/Transacciones/R7,media,,Q-FIN
2025-02-24,capital,Capital,Capital inicio,1347.71,,,"Flujo de financiamiento/capital (Clasif. 'Capital'), NO ingreso/gasto de operación: definir destino",Contabilidad v1/Transacciones/R8,media,,Q-FIN
2025-02-28,ingreso,Ingreso,Anticipo Victor,500,,,,Contabilidad v1/Transacciones/R9,alta,,
2025-02-28,ingreso,Ingreso,Anticipo Luis,3500,,,,Contabilidad v1/Transacciones/R10,alta,,
2025-03-02,gasto,Costo,Compra diamantes 1,21294.81,,,"Clasif. original 'Costo' (costo de venta), mapeado a gasto",Contabilidad v1/Transacciones/R11,alta,,
2025-03-02,gasto,Costo,Forte Anticipo 1,44052.24,,,"Clasif. original 'Costo' (costo de venta), mapeado a gasto",Contabilidad v1/Transacciones/R12,alta,,
2025-03-02,ingreso,Ingreso,Anticipo Eber 1,1800,,,,Contabilidad v1/Transacciones/R13,alta,,
2025-03-02,gasto,Costo,Pago fees Mercado,73.08,transferencia,,"Clasif. original 'Costo' (costo de venta), mapeado a gasto",Contabilidad v1/Transacciones/R14,alta,,
2025-03-04,gasto,Costo,Piedras color,6953.58,,,"Clasif. original 'Costo' (costo de venta), mapeado a gasto",Contabilidad v1/Transacciones/R15,alta,,
2025-03-08,ingreso,Ingreso,Anticipo Eber 2,4200,,,,Contabilidad v1/Transacciones/R16,alta,,
2025-03-09,gasto,Gasto,Robo tio fer,5000,,,,Contabilidad v1/Transacciones/R17,alta,,
2025-03-09,ingreso,Ingreso,Anticipo Victor 2,500,,,,Contabilidad v1/Transacciones/R18,alta,,
2025-03-10,gasto,Gasto,Fashion Show Pago 1,4000,,,,Contabilidad v1/Transacciones/R19,alta,,
2025-03-13,gasto,Costo,Compra diamantes 2,14461.27,,,"Clasif. original 'Costo' (costo de venta), mapeado a gasto",Contabilidad v1/Transacciones/R20,alta,,
2025-03-16,gasto,Gasto,GIA,15794.8,,,,Contabilidad v1/Transacciones/R21,alta,,
2025-03-19,gasto,Costo,Joyero trabajo y oro,42500,,,"Clasif. original 'Costo' (costo de venta), mapeado a gasto",Contabilidad v1/Transacciones/R22,alta,,
2025-03-21,deuda,Deuda,Deuda papá fer 2,73256.07,,Papá Fer,"Flujo de financiamiento/capital (Clasif. 'Deuda'), NO ingreso/gasto de operación: definir destino",Contabilidad v1/Transacciones/R23,media,,Q-FIN
2025-03-23,deuda,Deuda,Deuda papá fer 3,8000,,Papá Fer,"Flujo de financiamiento/capital (Clasif. 'Deuda'), NO ingreso/gasto de operación: definir destino",Contabilidad v1/Transacciones/R24,media,,Q-FIN
2025-03-23,ingreso,Ingreso,Victor Anticipo 2,1500,,,,Contabilidad v1/Transacciones/R25,alta,,
2025-03-23,deuda,Deuda,Deuda Fer,1500,,Fer,"Flujo de financiamiento/capital (Clasif. 'Deuda'), NO ingreso/gasto de operación: definir destino",Contabilidad v1/Transacciones/R26,media,,Q-FIN
2025-03-23,pago_deuda,Pago Deuda,Pago deuda Fer,1500,,Fer,"Flujo de financiamiento/capital (Clasif. 'Pago Deuda'), NO ingreso/gasto de operación: definir destino",Contabilidad v1/Transacciones/R27,media,,Q-FIN
2025-03-23,pago_deuda,Pago Deuda,Pago deuda Papá Fer,500,,Papá Fer,"Flujo de financiamiento/capital (Clasif. 'Pago Deuda'), NO ingreso/gasto de operación: definir destino",Contabilidad v1/Transacciones/R28,media,,Q-FIN
2025-03-24,gasto,Costo,Aduanas diamantes 2,2767,,,"Clasif. original 'Costo' (costo de venta), mapeado a gasto",Contabilidad v1/Transacciones/R29,alta,,
2025-03-24,gasto,Gasto,Aduanas IGI,3065,,,,Contabilidad v1/Transacciones/R30,alta,,
2025-03-24,gasto,Costo,Aduanas Piedras color,142,,,"Clasif. original 'Costo' (costo de venta), mapeado a gasto",Contabilidad v1/Transacciones/R31,alta,,
2025-03-24,gasto,Gasto,Expo Tu Boda,3500,,,,Contabilidad v1/Transacciones/R32,alta,,
2025-03-25,capital,Capital,Inversión Santi,693.76,,,"Flujo de financiamiento/capital (Clasif. 'Capital'), NO ingreso/gasto de operación: definir destino",Contabilidad v1/Transacciones/R33,media,,Q-FIN
2025-03-25,gasto,Costo,Bolsas,459,,,"Clasif. original 'Costo' (costo de venta), mapeado a gasto",Contabilidad v1/Transacciones/R34,alta,,
2025-03-25,gasto,Costo,Anillero doble,234.76,,,"Clasif. original 'Costo' (costo de venta), mapeado a gasto",Contabilidad v1/Transacciones/R35,alta,,
2025-03-26,gasto,Costo,Aduanas Eber 2,290.5,,,"Clasif. original 'Costo' (costo de venta), mapeado a gasto",Contabilidad v1/Transacciones/R36,alta,,
2025-03-26,gasto,Costo,Anilleros Amazon,802.18,,,"Clasif. original 'Costo' (costo de venta), mapeado a gasto",Contabilidad v1/Transacciones/R37,alta,,
2025-03-26,gasto,Gasto,Microscopio pitero,1411.7,,,,Contabilidad v1/Transacciones/R38,alta,,
2025-03-26,gasto,Costo,Caja collar fer,507.85,,,"Clasif. original 'Costo' (costo de venta), mapeado a gasto",Contabilidad v1/Transacciones/R39,alta,,
2025-03-26,deuda,Deuda,Deuda Fer Amazon,2721.73,,Fer,"Flujo de financiamiento/capital (Clasif. 'Deuda'), NO ingreso/gasto de operación: definir destino",Contabilidad v1/Transacciones/R40,media,,Q-FIN
2025-03-26,gasto,Costo,Aduana 1,262.5,,,"Clasif. original 'Costo' (costo de venta), mapeado a gasto",Contabilidad v1/Transacciones/R41,alta,,
2025-03-26,deuda,Deuda,Deuda fer Aduanas,553,,Fer,"Flujo de financiamiento/capital (Clasif. 'Deuda'), NO ingreso/gasto de operación: definir destino",Contabilidad v1/Transacciones/R42,media,,Q-FIN
2025-03-27,deuda,Deuda,Amazon,506.1,,Fer,"Flujo de financiamiento/capital (Clasif. 'Deuda'), NO ingreso/gasto de operación: definir destino",Contabilidad v1/Transacciones/R43,media,,Q-FIN
2025-03-27,gasto,Gasto,Báscula Digital,323.1,,,,Contabilidad v1/Transacciones/R44,alta,,
2025-03-27,gasto,Gasto,Vernier,183,,,,Contabilidad v1/Transacciones/R45,alta,,
2025-03-27,gasto,Gasto,Sellos cera,398.59,,,,Contabilidad v1/Transacciones/R46,alta,,
2025-03-27,deuda,Deuda,Deuda Fer,398.59,,Fer,"Flujo de financiamiento/capital (Clasif. 'Deuda'), NO ingreso/gasto de operación: definir destino",Contabilidad v1/Transacciones/R47,media,,Q-FIN
2025-03-27,deuda,Deuda,Deuda piedras de color,48195.51,,Papá Fer,"Flujo de financiamiento/capital (Clasif. 'Deuda'), NO ingreso/gasto de operación: definir destino",Contabilidad v1/Transacciones/R48,media,,Q-FIN
2025-03-27,gasto,Costo,Piedras de color,48195.51,,,"Clasif. original 'Costo' (costo de venta), mapeado a gasto",Contabilidad v1/Transacciones/R49,alta,,
2025-03-28,ingreso,Ingreso,Victor Anticipo 3,1500,,,,Contabilidad v1/Transacciones/R50,alta,,
2025-03-28,pago_deuda,Pago Deuda,Pago Deuda Fer,1500,,Fer,"Flujo de financiamiento/capital (Clasif. 'Pago Deuda'), NO ingreso/gasto de operación: definir destino",Contabilidad v1/Transacciones/R51,media,,Q-FIN
2025-03-28,pago_deuda,Pago Deuda,Pago Deuda Fer,5113.45,,Fer,"Flujo de financiamiento/capital (Clasif. 'Pago Deuda'), NO ingreso/gasto de operación: definir destino",Contabilidad v1/Transacciones/R52,media,,Q-FIN
2025-03-28,ingreso,Ingreso,Eber 1,16200,,,,Contabilidad v1/Transacciones/R53,alta,,
2025-03-28,ingreso,Ingreso,Eber 2,37800,,,,Contabilidad v1/Transacciones/R54,alta,,
2025-03-28,gasto,Costo,Pago fees Mercado Eber 1,657.7199999999999,transferencia,,"Clasif. original 'Costo' (costo de venta), mapeado a gasto",Contabilidad v1/Transacciones/R55,alta,,
2025-03-28,gasto,Costo,Pago fees Mercado Eber 2,1534.6799999999998,transferencia,,"Clasif. original 'Costo' (costo de venta), mapeado a gasto",Contabilidad v1/Transacciones/R56,alta,,
2025-03-28,ingreso,Ingreso,Rendimientos,1.2399999999179272,,,,Contabilidad v1/Transacciones/R57,alta,,
2025-03-28,gasto,Gasto,Papel 1,299.5,,,,Contabilidad v1/Transacciones/R58,alta,,
2025-03-28,gasto,Gasto,Papel 2,537.6,,,,Contabilidad v1/Transacciones/R59,alta,,
2025-03-28,capital,Capital,Inversión Santi,837.1,,,"Flujo de financiamiento/capital (Clasif. 'Capital'), NO ingreso/gasto de operación: definir destino",Contabilidad v1/Transacciones/R60,media,,Q-FIN
2025-03-28,gasto,Costo,Diamantes Expo Grande 1,150021.14,,,"Clasif. original 'Costo' (costo de venta), mapeado a gasto",Contabilidad v1/Transacciones/R61,alta,,
2025-03-28,gasto,Costo,Diamantes Expo Grande 3,167859.87,,,"Clasif. original 'Costo' (costo de venta), mapeado a gasto",Contabilidad v1/Transacciones/R62,alta,,
